product_name,brand,category,rating,price
"Pooplu Mens Ajay Cotton Printed Round Neck Half Sleeves Black & White T.Shirt. Common Names, Symbol Tshirts",Pooplu,"{'ClothingAccessories': '#5,72,237', 'MensT_Shirts': '#46580'}",3.0,399.0
JORKK Men's Cotton Polo Neck T-Shirt.,JORKK,"{'ClothingAccessories': '#1,81,416', 'MensPolos': '#3286'}",3.2,279.0
nauti nati Girls' Midi Dress,nauti nati,"{'ClothingAccessories': '#1,75,073', 'GirlsDressesJumpsuits': '#2315'}",3.1,401.0
GOLDSTROMS Minelli Women Round Neck Rayon Fabric Nursing/Feeding/Maternity Gown,GOLDSTROMS,"{'ClothingAccessories': '#12,62,995', 'MaternityDresses': '#1474'}",5.0,1199.0
Calvin Klein Jeans Men's Plain Slim fit Casual Shirt (40I8055100_Standard White_XL),Calvin Klein Jeans,"{'ClothingAccessories': '#5,54,955', 'MensCasualShirts': '#30558'}",4.2,2749.0
Pari Singh Orange Plain Women's Frok,Pari Singh,"{'ClothingAccessories': '#21,87,535', 'WomensDresses': '#56564'}",5.0,0.0
TEXCO Pink Side Draw Strings Crop Top,TEXCO,"{'ClothingAccessories': '#7,14,297', 'WomensTops': '#24561'}",3.0,499.0
Colt Boy's Pyjama Set,Colt by Unlimited,"{'ClothingAccessories': '#45,930', 'BoysPyjamaSets': '#35'}",3.6,249.0
bluehaaat Balidan Dena Hoga Sacred Games Quote Printed Cotton Tshirt for Men,bluehaaat,"{'ClothingAccessories': '#3,13,023', 'MensT_Shirts': '#24768'}",4.5,399.0
Magson Neo Men's Assorted Tie (2018 collection),MAGSON,"{'ClothingAccessories': '#3,59,069', 'BoysTies': '#43'}",5.0,295.0
Arrow Newyork Men's Checkered Slim Fit Formal Shirt,Arrow New York,"{'ClothingAccessories': '#2,12,941', 'MensFormalShirts': '#6643'}",4.2,799.0
Tommy Hilfiger Men's Checkered Regular fit Casual Shirt,Unknown,"{'ClothingAccessories': '#59,183', 'MensCasualShirts': '#2267'}",5.0,2639.0
"Vetrokart Women's Tappeta Silk Semi-stitched Lehenga Choli (Blue, Free Size)",Vetrokart,"{'ClothingAccessories': '#2,74,542', 'WomensLehengaCholis': '#1469'}",4.5,519.0
ONLY Women Casual Dress,Unknown,"{'ClothingAccessories': '#2,24,065', 'WomensDresses': '#4821'}",4.7,1034.0
Rangeelo rajasthan Women's Straight Kurta,Rangeelo rajasthan,"{'ClothingAccessories': '#5,51,468', 'WomensKurtasKurtis': '#36958'}",3.0,379.0
Pepe Jeans Girl's Plain Regular fit T-Shirt,Unknown,"{'ClothingAccessories': '#14,32,014', 'GirlsT_Shirts': '#14660'}",4.0,261.0
Peter England Men's Slim fit Formal Shirt,Unknown,"{'ClothingAccessories': '#2,51,721', 'MensFormalShirts': '#8297'}",3.1,637.0
LEADING LADY Women's Full Cup Non Padded Non Wired Bra (Pack of 2),LEADING LADY,"{'ClothingAccessories': '#3,87,641', 'WomensSportsBras': '#989'}",3.6,287.0
RIGO Men's Striped Slim Fit T-Shirt,RIGO,"{'ClothingAccessories': '#1,05,754', 'MensT_Shirts': '#7737'}",5.0,331.0
Miss Chase Women's Pink Self Design Bardot Neck Half Sleeved Off Shoulder Ruffled Top,Miss Chase,"{'ClothingAccessories': '#6,24,750', 'WomensTops': '#21133'}",3.0,469.0
EDGEMETER Navy Blue Round Neck Half Sleeves Solid Plane t-Shirt,EDGEMETER,"{'ClothingAccessories': '#7,19,528', 'MensT_Shirts': '#58393'}",5.0,0.0
SWORNOF Women's Silk Saree With Blouse Piece (Blue),SWORNOF,"{'ClothingAccessories': '#13,07,096', 'WomensSarees': '#97073'}",5.0,410.0
People Women's Regular Fit Top,Unknown,"{'ClothingAccessories': '#1,11,984', 'WomensT_Shirts': '#1745'}",4.0,251.0
GURUS FOREVER RAYON PLAZZO XXL TO 5XL,Saheli,"{'ClothingAccessories': '#2,22,025', 'WomensChuridarSalwarBottoms': '#3043'}",3.9,499.0
Aurelia Women's Straight Kurta,Unknown,"{'ClothingAccessories': '#1,05,246', 'WomensKurtasKurtis': '#8088'}",3.5,648.0
Hot Wheels Boys' T-Shirt (HWPBSL0893_Grey_4-5 Years),Hot Wheels,"{'ClothingAccessories': '#7,94,594', 'BoysT_Shirts': '#16461'}",4.0,240.0
Van Heusen Men's Slim fit Formal Shirt,Unknown,"{'ClothingAccessories': '#23,896', 'MensFormalShirts': '#496'}",3.0,849.0
Rupa Thermocot Women's Plain/Solid Synthetic Thermal Bottom,Rupa Thermocot,"{'ClothingAccessories': '#16,274', 'WomensThermalBottoms': '#6'}",3.4,373.0
Aai Shree Khodiyar Art Georgette Saree,Aai shree khodiyar art,"{'ClothingAccessories': '#10,516', 'WomensSarees': '#649'}",3.6,545.0
Lincy fashion women's anarkli gown (Semi-Stitched Gown_Free Size),Lincy fashion,"{'ClothingAccessories': '#3,50,551', 'WomensEthnicGowns': '#1407'}",4.6,559.0
Max Men's Regular fit T-Shirt,Max,"{'ClothingAccessories': '#16,262', 'MensT_Shirts': '#912'}",4.5,199.0
Claura Floral Printed Red Color Cotton Nighty With Robe Or Nightdress,Claura,"{'ClothingAccessories': '#1,80,080', 'WomensNightiesNightdresses': '#2019'}",5.0,999.0
CAVALLO by Linen Club: Red Checked Casual Linen Shirt for Men,CAVALLO by Linen Club,"{'ClothingAccessories': '#1,30,030', 'MensCasualShirts': '#5618'}",3.4,849.0
Roden Men's Solid Full Sleeve Tshirt,Roden,"{'ClothingAccessories': '#26,807', 'MensT_Shirts': '#1640'}",3.5,440.0
Vinay's Women's Cotton Straight Kurta,Vinay's,"{'ClothingAccessories': '#3,27,041', 'WomensKurtasKurtis': '#23252'}",3.0,496.0
VIP Frenchie Pro Cotton Briefs - Assorted Pack of 3 (Colors May Vary),VIP,"{'ClothingAccessories': '#39,283', 'MensUnderwearBriefs': '#440'}",3.9,295.0
"Usi universal Razor Black, Red and White Shorts",Usi universal,"{'ClothingAccessories': '#20,65,735', 'WomensSportsShorts': '#1063'}",4.0,1529.0
Fruit of the Loom Men's Brief,Unknown,"{'ClothingAccessories': '#62,240', 'MensUnderwearBriefs': '#619'}",3.5,223.0
SCH Regular Fit Women's Cotton Rayon Casual Palazzo,SCH,"{'ClothingAccessories': '#1,33,459', 'WomensTrousers': '#1442', 'WomensChuridarSalwarBottoms': '#1872'}",3.9,474.0
Hangout Hub Cotton Mens Tshirts Shiva Tilak Printed for Brothers/Sibiling/Family/Friends,Hangout Hub,"{'ClothingAccessories': '#6,53,136', 'MensT_Shirts': '#53094'}",5.0,449.0
Peter England Men's Regular fit Formal Shirt,Unknown,"{'ClothingAccessories': '#2,04,865', 'MensFormalShirts': '#6290'}",5.0,699.0
Summer T-Shirts Blue Orange Green and Peach for Girl and Boy (Pack of 4),Generic,"{'ClothingAccessories': '#6,43,402', 'GirlsT_Shirts': '#7299'}",5.0,520.0
Aarika Cotton a-line Dress,Aarika,"{'ClothingAccessories': '#30,314', 'GirlsDressesJumpsuits': '#407', 'WomensKurtasKurtis': '#2630'}",4.0,443.0
Excalibur by Unlimited Men's Solid Regular Fit Formal Shirt (Pack of 2)(Colors & Print May Vary),Excalibur by Unlimited,"{'ClothingAccessories': '#4,06,896', 'MensFormalShirts': '#15522'}",3.0,749.0
"Athflex Flex-Fit Fitness Gym Stringer Vest, Tank Top, Racer Back, Gym Vest, Men's Vest, Bodybuilding Stringer Vest",Athflex,"{'ClothingAccessories': '#4,493', 'MensUnderwearVests': '#64'}",4.7,299.0
C.Cozami Women's Long Sleeves Casual White/Black/Red Checkered Shirt,C.Cozami,"{'ClothingAccessories': '#28,281', 'WomensBlousesShirts': '#307'}",4.0,440.0
Linkin Park by Free Authority Men's Regular fit T-Shirt,Linkin Park by Free Authority,"{'ClothingAccessories': '#3,08,967', 'MensT_Shirts': '#24450'}",5.0,399.0
"Forever Men Braided Casual Pure Leather Belt with Imported pin Buckle with belts for Boy casual stylish width 38mm color Blue New collection leather belt for men formal branded,Free Size upto 44 inch",Forever,"{'ClothingAccessories': '#9,66,847', 'WomensClothing': '#465903'}",5.0,999.0
Silly Punter Punisher One Batch Two Batch Men's Cotton T-Shirt,Silly Punter,"{'ClothingAccessories': '#3,42,767', 'MensT_Shirts': '#27348'}",3.7,599.0
Roden Mens Colorblock Cotton Vest,Roden,"{'ClothingAccessories': '#2,03,425', 'MensUnderwearVests': '#1048'}",3.9,349.0
Indigo Women's A-Line Kurti,Unknown,"{'ClothingAccessories': '#1,03,206', 'WomensKurtasKurtis': '#7937'}",3.2,244.0
Peter England Men's Printed Slim Fit Formal Shirt,Unknown,"{'ClothingAccessories': '#5,38,955', 'MensFormalShirts': '#21140'}",3.0,735.0
BIBA Women's Straight Kurta,BIBA,"{'ClothingAccessories': '#68,304', 'WomensKurtasKurtis': '#5445'}",4.0,699.0
Red Eye black suspender with bow for kids,Red Eye,"{'ClothingAccessories': '#3,92,750', 'MensSuspenders': '#198'}",5.0,299.0
Loviena Gypsy Men's Tie,LOVIENA,"{'ClothingAccessories': '#34,754', 'MensNeckties': '#265'}",3.5,299.0
LOPA CORAL-PINK FOIL PRINTED & EMBROIDERED RAYON STRAIGHT FIT KURTA AND PRINTED PALAZZO,LOPA,"{'ClothingAccessories': '#1,74,810', 'WomensSalwarSuits': '#1791'}",4.4,1199.0
Enchanted Drapes Womens' Blue Red Cheque Crepe Kurti [Size: M] {EDK0193},Enchanted Drapes,"{'ClothingAccessories': '#9,91,895', 'WomensKurtasKurtis': '#64155'}",5.0,600.0
Aurelia Women's Cotton A-Line Kurta,Unknown,"{'ClothingAccessories': '#70,924', 'WomensKurtasKurtis': '#5638'}",4.1,832.0
Levi's Women Sweater,Unknown,"{'ClothingAccessories': '#28,980', 'WomensPulloverSweaters': '#66'}",2.0,1457.0
KEOTI Dailywear Comfort Fit Nighty Gown Pack - Pack of 2,KEOTI,"{'ClothingAccessories': '#16,83,583', 'WomensNightiesNightdresses': '#19468'}",4.0,649.0
BIBA Women's Straight Kurta,BIBA,"{'ClothingAccessories': '#1,33,444', 'WomensKurtasKurtis': '#10003'}",3.7,839.0
Forever9teen Women's Hosiery Maxi Dress_3SS16-1060/NS1-P,forever 9teen,"{'ClothingAccessories': '#3,10,299', 'WomensDresses': '#6578'}",5.0,899.0
Digital Print Pattern Regular Fit C-Cut Kurti With Plazo,FABRIZIA,"{'ClothingAccessories': '#5,21,925', 'WomensKurtasKurtis': '#35280'}",3.5,999.0
Max Boy's Regular Fit T-Shirt,Max,"{'ClothingAccessories': '#49,114', 'BoysT_Shirts': '#717'}",4.2,135.0
WonderWink Women's Wonderwork Women's V-Neck Scrub Top,WonderWink,"{'IndustrialScientific': '#59,312', 'WomensTops': '#27745'}",5.0,2731.0
Park Avenue Solid Cotton Medium Red Super Slim Fit Narrow Collar Full Sleeve Shirt,Unknown,"{'ClothingAccessories': '#5,36,803', 'MensFormalShirts': '#21061'}",4.0,919.0
Park Avenue Violet Cotton Silm Fit Shirt,Unknown,"{'ClothingAccessories': '#5,64,296', 'MensFormalShirts': '#22124'}",5.0,677.0
Chromozome Men's Striped Brief,Unknown,"{'ClothingAccessories': '#1,44,178', 'MensUnderwearBriefs': '#1218'}",3.4,268.0
ONLY Women's Plain Regular Fit Top,Unknown,"{'ClothingAccessories': '#1,80,741', 'WomensTops': '#6193'}",4.0,1301.0
Masha Women's Cotton-Bikini/Hipster panty-Valupack-3pcs,Masha,"{'ClothingAccessories': '#94,938', 'WomensBikiniKnickers': '#169'}",3.4,240.0
Neostreak Men's Slim Fit Stretchable Jeans,Unknown,"{'ClothingAccessories': '#1,20,373', 'MensJeans': '#3224'}",3.3,589.0
HUETRAP Men's Om Printed T Shirt,HUETRAP,"{'ClothingAccessories': '#3,64,907', 'MensT_Shirts': '#29211'}",3.5,494.0
Alena Cotton Women casual wear kurta in Beige Colour Size,ALENA,"{'ClothingAccessories': '#8,29,001', 'WomensKurtasKurtis': '#54330'}",3.0,660.0
Child Cottage Banarasi Silk Saree,CHILD COTTAGE,"{'ClothingAccessories': '#11,91,318', 'WomensSarees': '#84286'}",5.0,1500.0
Coco Reef Women's Master Classic The Five Way Tankini,Coco Reef,"{'ClothingAccessories': '#21,29,949', 'WomensSportswear': '#40558', 'SwimmingSwimwear': '#13406', 'SportsClothing': '#37355'}",3.4,0.0
Mimosa Art Chiffon saree Kanjivarm Pattu style With Running Blouse Color: Green (4313-2280-SD-OLV),MIMOSA,"{'ClothingAccessories': '#80,383', 'WomensSarees': '#4536'}",3.1,3549.0
Puma Men Style Athletics Tee Red Dahlia Heather,Unknown,"{'ClothingAccessories': '#5,19,528', 'MensSportsT_ShirtsJerseys': '#3973'}",3.0,669.0
Chalk By Pantaloons Boys' Sweater,Unknown,"{'ClothingAccessories': '#3,63,811', 'BoysSweaters': '#578'}",4.0,652.0
Jaipur Kurti Women's Straight Kurta,Unknown,"{'ClothingAccessories': '#2,52,427', 'WomensKurtasKurtis': '#18338'}",4.3,1139.0
Dollar Bigboss Men's Cotton Vest (8902889301228_MDVE-02-BB-DERBY-WHITE_85_White),Dollar Bigboss,"{'ClothingAccessories': '#6,01,373', 'MensUnderwearVests': '#2643'}",4.4,120.0
Paramount Hand Embroiderey Chikan Kurti for Women,Paramount,"{'ClothingAccessories': '#7,62,998', 'WomensKurtasKurtis': '#50161'}",5.0,899.0
ALC Creations Women's Faux Crepe Straight Kurti,ALC Creation,"{'ClothingAccessories': '#4,53,960', 'WomensKurtasKurtis': '#31210'}",3.1,355.0
612 League Boys' Shirt,Unknown,"{'ClothingAccessories': '#1,81,391', 'BoysShirts': '#1159'}",5.0,777.0
global desi Synthetic a-line Dress,Unknown,"{'ClothingAccessories': '#1,31,558', 'WomensDresses': '#2955'}",5.0,749.0
Drapes Women's Cotton Printed Unstitched Dress Material (Black),Drapes,"{'ClothingAccessories': '#10,47,616', 'WomensEthnicUnstitchedFabric': '#27549'}",3.0,527.0
United Colors of Benetton Men's Baseball Cap,Unknown,"{'ClothingAccessories': '#3,50,923', 'MensCapsHats': '#3243'}",4.7,479.0
John Miller Men's Checkered Slim Fit Synthetic Formal Shirt,John Miller,"{'ClothingAccessories': '#2,80,009', 'MensFormalShirts': '#9592'}",4.0,870.0
Varkala Silk Sarees Women's Banarasi Soft Cotton Silk Saree (V161RNNB-SM_Magenta & Navy Blue_Free Size),VARKALA SILK SAREES,"{'ClothingAccessories': '#25,530', 'WomensSarees': '#1468'}",5.0,1179.0
ABOF Women Sweatshirt,ABOF,"{'ClothingAccessories': '#50,092', 'WomensSweatshirtsHoodies': '#397'}",5.0,397.0
Levi's Men's Printed Regular Fit Casual Shirt,Unknown,"{'ClothingAccessories': '#5,26,998', 'MensCasualShirts': '#28966'}",4.0,1948.0
McHenry Men's Regular Fit Poly Viscose Checkered Formal Trousers,McHenry,"{'ClothingAccessories': '#1,04,517', 'MensFormalTrousers': '#725'}",4.0,799.0
MATCH MUCH Satin Skinny Neckties -6 Different Styles(Music Notes),MATCH MUCH,"{'ClothingAccessories': '#17,45,617', 'MensNeckties': '#13622'}",5.0,0.0
Gini & Jony Boys' Starred Regular Fit Shirt,Gini & Jony,"{'ClothingAccessories': '#4,42,833', 'BoysShirts': '#3434'}",4.0,0.0
Jevi Prints Women's Unstitched Cotton Blue Chevron Printed Kurti Fabric (Fabric only for Top) (S-1604),Jevi Prints,"{'ClothingAccessories': '#2,96,894', 'WomensEthnicUnstitchedFabric': '#4692'}",4.4,499.0
Rupa Jon Men's Plain Vest (Pack of 3),Rupa Jon,"{'ClothingAccessories': '#23,126', 'MensUnderwearVests': '#208'}",4.5,129.0
Aurelia Women's cotton straight Kurta,Unknown,"{'ClothingAccessories': '#6,393', 'WomensKurtasKurtis': '#574'}",2.5,281.0
Royal Men's Silk Blend Dhoti & Kurta Set_Purple,Unknown,"{'ClothingAccessories': '#6,27,225', 'MensDhoties': '#1278'}",5.0,1199.0
Urban Ranger by Pantaloons Men's Plain Slim Fit Casual Shirt,Urban Ranger by Pantaloons,"{'ClothingAccessories': '#1,26,443', 'MensCasualShirts': '#5335'}",4.5,599.0
Luke and Lilly Girl's Cotton Half Sleeve Tshirt - Pack of 6,Luke and Lilly,"{'ClothingAccessories': '#2,10,785', 'GirlsT_Shirts': '#1980'}",4.0,881.0
BSTORIES Women's Viscose Morocco Cullout Lounge Shorts,BSTORIES,"{'ClothingAccessories': '#28,796', 'WomensLoungeShorts': '#1'}",5.0,449.0
J2J Men's Red Cotton Vest Casual Sleeveless Inner Wear,J2J,"{'ClothingAccessories': '#4,86,787', 'MensUnderwearVests': '#2212'}",1.0,199.0
Rangriti Women's Asymmetric Kurta,Unknown,"{'ClothingAccessories': '#2,39,166', 'WomensKurtasKurtis': '#17443'}",3.4,739.0
JAIPUR ATTIRE Women's Cotton Flared Kurti,JAIPUR ATTIRE,"{'ClothingAccessories': '#93,199', 'WomensKurtasKurtis': '#7201'}",5.0,784.0
Next Look Men's Solid Slim Fit Formal Shirt,Next Look,"{'ClothingAccessories': '#4,78,748', 'MensFormalShirts': '#18591'}",3.3,519.0
Bronz by Unlimited Women's Slim fit Shirt,Bronz by Unlimited,"{'ClothingAccessories': '#3,02,488', 'WomensBlousesShirts': '#4298'}",3.0,449.0
Sikander -Men's|Women's Black Soft Warm Cozy Fully Stretchable Faux Fur Velvet Socks Without Thumb (Pack of 1),Sikander,"{'ClothingAccessories': '#60,082', 'MensWinterwear': '#2463'}",3.0,189.0
Jersey Hood | Liverpool Home & GK Jersey/Shorts for Mens/Boys | 2019-20 | Polyester Dri-Fit Unbranded |,Jersey Hood,"{'ClothingAccessories': '#6,551', 'MensSportsT_ShirtsJerseys': '#30'}",3.8,299.0
dongli Boys Marvellous T Shirt (Pack of 3),dongli,"{'ClothingAccessories': '#10,28,505', 'BoysT_Shirts': '#20422'}",4.0,549.0
Fabclub Women's Cambric Cotton Floral Printed Straight Kurti,Fabclub,"{'ClothingAccessories': '#1,31,584', 'WomensKurtasKurtis': '#9880'}",5.0,599.0
ADRO Men's GOT Printed Cotton T-Shirt,ADRO,"{'ClothingAccessories': '#61,212', 'MensT_Shirts': '#4202'}",3.4,299.0
US Polo Association Men's Formal Shirt,Unknown,"{'ClothingAccessories': '#3,00,047', 'MensFormalShirts': '#10523'}",3.5,999.0
Kidofash Pack of 2 Pair Antislip Socks Antiskid Socks cum Booties for Kids (6 Months to 2 Years Old),Kidofash,"{'ClothingAccessories': '#5,27,306'}",5.0,299.0
Magic Collections Girls Birthday Dress Gown_M C_888,Magic Stones,"{'ClothingAccessories': '#5,940', 'GirlsDressesJumpsuits': '#91'}",3.1,799.0
Bronz Women's Plain Slim fit Shirt,Bronz by Unlimited,"{'ClothingAccessories': '#1,39,806', 'WomensBlousesShirts': '#1928'}",5.0,299.0
US Polo Men's Solid Regular Fit Casual Shirt,Unknown,"{'ClothingAccessories': '#1,12,920', 'MensCasualShirts': '#4779'}",3.2,799.0
GRITSTONES Men's Multi Army Print Vest GSVST720,GRITSTONES,"{'ClothingAccessories': '#3,18,676', 'MensT_Shirts': '#25271'}",3.5,359.0
"bilAnca Premium Quality Women's Girl's Ladies Cotton Velvet Finish Casual Belt Stylish Trendy Buckle Strap Ideal for Jeans Trousers Cargo Joggers | 2 CMS (0.75"") Wide | 41"" Long | Waist Upto 36""",bilAnca,"{'ClothingAccessories': '#1,70,456', 'WomensClothing': '#82692'}",2.0,175.0
Smit Enterprise Kachhi Bandhani Cotton Silk Unstitched Dress Material For Women,Smit,"{'ClothingAccessories': '#3,18,174', 'WomensEthnicUnstitchedFabric': '#5102'}",4.0,1399.0
"AD & AV Men's Formal Trouser (298_Linen_Cream_AA_30, Grey, 30)",AD & AV,"{'ClothingAccessories': '#5,24,453', 'MensFormalTrousers': '#5020'}",2.5,532.0
HELG Mens Formal Cotton Plain Mandarin Chinese Collar Half Sleeves Comfort Fit Shirt,HELG,"{'ClothingAccessories': '#9,23,726', 'MensFormalShirts': '#35336'}",3.3,799.0
Inkholic Men's Cricket Sports Jersey IN701,Inkholic,"{'ClothingAccessories': '#33,486', 'MensSportsT_ShirtsJerseys': '#179'}",3.5,449.0
Ruggers Men's Striped Regular fit T-Shirt,Unknown,"{'ClothingAccessories': '#67,207', 'MensT_Shirts': '#4782'}",4.1,274.0
Mehrunnisa BAGRU MAHESHWARI Cotton Silk Saree With Blouse Piece From Jaipur,Mehrunnisa,"{'ClothingAccessories': '#6,67,421', 'WomensSarees': '#39824'}",3.8,2995.0
pietra Combo Plain Patiala Salwar and Dhoti for Women,pietra,"{'ClothingAccessories': '#1,57,657', 'WomensChuridarSalwarBottoms': '#2203'}",3.9,1399.0
BIBA Women's Cotton Straight Kurta,BIBA,"{'ClothingAccessories': '#45,715', 'WomensKurtasKurtis': '#3789'}",4.5,849.0
ONN Men's Cotton Vest,ONN,"{'ClothingAccessories': '#1,65,279', 'MensUnderwearVests': '#891'}",3.6,250.0
New Ethical Fashion Crepe Fully Stiched Womens Top,New Ethical Fashion,"{'ClothingAccessories': '#3,78,146', 'WomensTops': '#12860'}",4.0,199.0
Max Girl's Regular Fit T-Shirt,Max,"{'ClothingAccessories': '#61,901', 'GirlsT_Shirts': '#502'}",4.7,135.0
Captain America By Kidsville Boy's Plain Regular fit T-Shirt,Captain America By Kidsville,"{'ClothingAccessories': '#5,64,559', 'BoysT_Shirts': '#11696'}",4.0,395.0
Aarika Silk a-line Dress,Aarika,"{'ClothingAccessories': '#62,644', 'GirlsDressesJumpsuits': '#905'}",4.0,999.0
M.Weft Men's Trendy Blue Jeans _36,M.Weft,"{'ClothingAccessories': '#4,39,168', 'MensJeans': '#13534'}",3.0,455.0
Printoctopus Women'S Green T-Shirts,PrintOctopus,"{'ClothingAccessories': '#95,607', 'WomensT_Shirts': '#1472'}",4.7,298.0
SKULT by Shahid Kapoor Men's Varsity Jacket,SKULT by Shahid Kapoor,"{'ClothingAccessories': '#3,19,369', 'MensJackets': '#3698'}",4.2,734.0
Atharv Collection Women's Unstitched Cotton Salwar Suit Dress Material With Nazneen Printed Dupatta (Brown; Free Size),Atharv Collection,"{'ClothingAccessories': '#26,54,290', 'WomensEthnicUnstitchedFabric': '#156947'}",5.0,850.0
Navabi Export Women's Wrap Kurta(VF-KU-125 XXXL _Grey_XXX-Large),Navabi Export,"{'ClothingAccessories': '#13,73,578', 'WomensKurtasKurtis': '#87471'}",5.0,1499.0
High Point Little Girls' My Little Pony Knee High Socks- Blue/Pink (Pack of 2),High Point,"{'ClothingAccessories': '#23,37,552', 'GirlsSocks': '#1784'}",4.7,0.0
KURTA DHOTHI with KHANDWA,KURTA,"{'ClothingAccessories': '#2,57,302', 'BoysEthnicWear': '#795'}",5.0,999.0
McHenry Mens Pure Cotton Regular Fit Checkered Casual Full Sleeves Shirt,McHenry,"{'ClothingAccessories': '#77,783', 'MensCasualShirts': '#3148'}",4.5,799.0
Romano Women's Rain Skirt and Rain Jacket,Romano,"{'SportsFitnessOutdoors': 'Amazon Bestsellers Rank #47,279'}",3.5,789.0
American Noti White Jeans Men | White Denim Jeans for Men | White Cotton Jeans for Men | Jeans for Men Slim fit Stretchable Pure White | Jeans White for Men,American Noti,"{'ClothingAccessories': '#1,72,740', 'MensJeans': '#4982'}",3.5,596.0
SHOPMOZO Unisex Pure Cotton Checkered Short Sleeve Night Suit for Boys and Girls Full Pyjama with Short Top Combo Set (SM-00515UNISEXSWPS Multicolor),SHOPMOZO,"{'ClothingAccessories': '#1,47,894', 'GirlsPyjamaSets': '#120'}",5.0,599.0
"ultrasav Women's Net Embroidered Semi-Stitched Lehenga Choli (Fanta_001, Orange, Free Size)",ultrasav,"{'ClothingAccessories': '#1,28,475', 'WomensLehengaCholis': '#719'}",3.0,699.0
My Lil Princess Baby Girls Birthday Frock Dress_Pink Beeds_Net Fabric_3-9 Years,My Lil Princess,"{'ClothingAccessories': '#3,58,745', 'GirlsDressesJumpsuits': '#4755'}",4.0,799.0
"Mizago Women's Casual Sleeveless Solid,Frill Front Design Women's Shirt",Mizago,"{'ClothingAccessories': '#84,709', 'WomensBlousesShirts': '#1040'}",3.2,547.0
"Zacharias Unisex Hip Hop Cap zach-hip-hop-Black-cap,",Zacharias,"{'ClothingAccessories': '#6,11,111', 'MensCapsHats': '#5303'}",3.3,399.0
